energy;distance;angle
-397.773899468;0.8000;116.0
-397.772874588;0.8000;117.0
-397.771794155;0.8000;118.0
-397.770659718;0.8000;119.0
-397.769472862;0.8000;120.0
-397.768235214;0.8000;121.0
-397.766948438;0.8000;122.0
-397.76561424;0.8000;123.0
-397.764234369;0.8000;124.0
-397.762810614;0.8000;125.0
-397.76134481;0.8000;126.0
-397.759838836;0.8000;127.0
-397.758294617;0.8000;128.0
-397.756714124;0.8000;129.0
-397.755099376;0.8000;130.0
-397.753452441;0.8000;131.0
-397.751775438;0.8000;132.0
-397.750070534;0.8000;133.0
-397.748339949;0.8000;134.0
-397.746585955;0.8000;135.0
-397.744810875;0.8000;136.0
-397.743017086;0.8000;137.0
-397.74120702;0.8000;138.0
-397.739383161;0.8000;139.0
-397.737548046;0.8000;140.0
-397.735704266;0.8000;141.0
-397.733854464;0.8000;142.0
-397.732001336;0.8000;143.0
-397.730147627;0.8000;144.0
-397.728296131;0.8000;145.0
-397.72644969;0.8000;146.0
-397.724611187;0.8000;147.0
-397.72278355;0.8000;148.0
-397.720969743;0.8000;149.0
-397.719172763;0.8000;150.0
-397.717395638;0.8000;151.0
-397.715641416;0.8000;152.0
-397.713913169;0.8000;153.0
-397.712213974;0.8000;154.0
-397.710546917;0.8000;155.0
-397.708915078;0.8000;156.0
-397.707321528;0.8000;157.0
-397.705769313;0.8000;158.0
-397.704261453;0.8000;159.0
-397.702800926;0.8000;160.0
-397.741205491;0.8000;70.0
-397.743833998;0.8000;71.0
-397.746372222;0.8000;72.0
-397.748820278;0.8000;73.0
-397.751178249;0.8000;74.0
-397.753446204;0.8000;75.0
-397.755624205;0.8000;76.0
-397.757712324;0.8000;77.0
-397.759710652;0.8000;78.0
-397.761619301;0.8000;79.0
-397.763438415;0.8000;80.0
-397.765168174;0.8000;81.0
-397.766808799;0.8000;82.0
-397.768360549;0.8000;83.0
-397.769823731;0.8000;84.0
-397.771198695;0.8000;85.0
-397.772485838;0.8000;86.0
-397.773685603;0.8000;87.0
-397.774798481;0.8000;88.0
-397.775825004;0.8000;89.0
-397.776765753;0.8000;90.0
-397.77762135;0.8000;91.0
-397.778392459;0.8000;92.0
-397.779079786;0.8000;93.0
-397.779684076;0.8000;94.0
-397.780206111;0.8000;95.0
-397.78064671;0.8000;96.0
-397.781006727;0.8000;97.0
-397.781287049;0.8000;98.0
-397.781488598;0.8000;99.0
-398.022567999;0.8500;100.0
-398.022546378;0.8500;101.0
-398.022449955;0.8500;102.0
-398.022279714;0.8500;103.0
-398.02203667;0.8500;104.0
-398.021721868;0.8500;105.0
-398.021336382;0.8500;106.0
-398.02088132;0.8500;107.0
-398.020357817;0.8500;108.0
-398.019767043;0.8500;109.0
-398.019110198;0.8500;110.0
-398.018388517;0.8500;111.0
-398.017603264;0.8500;112.0
-398.016755742;0.8500;113.0
-398.015847283;0.8500;114.0
-398.014879258;0.8500;115.0
-398.013853072;0.8500;116.0
-398.012770168;0.8500;117.0
-398.011632023;0.8500;118.0
-398.010440154;0.8500;119.0
-398.009196119;0.8500;120.0
-398.007901511;0.8500;121.0
-398.006557967;0.8500;122.0
-398.005167165;0.8500;123.0
-398.003730825;0.8500;124.0
-398.00225071;0.8500;125.0
-398.000728628;0.8500;126.0
-397.999166433;0.8500;127.0
-397.997566027;0.8500;128.0
-397.995929357;0.8500;129.0
-397.994258422;0.8500;130.0
-397.99255527;0.8500;131.0
-397.990822;0.8500;132.0
-397.989060763;0.8500;133.0
-397.987273766;0.8500;134.0
-397.985463268;0.8500;135.0
-397.983631585;0.8500;136.0
-397.981781088;0.8500;137.0
-397.979914204;0.8500;138.0
-397.978033421;0.8500;139.0
-397.97614128;0.8500;140.0
-397.974240383;0.8500;141.0
-397.972333385;0.8500;142.0
-397.970423003;0.8500;143.0
-397.968512006;0.8500;144.0
-397.966603217;0.8500;145.0
-397.964699515;0.8500;146.0
-397.962803825;0.8500;147.0
-397.960919124;0.8500;148.0
-397.959048431;0.8500;149.0
-397.957194804;0.8500;150.0
-397.95536134;0.8500;151.0
-397.953551165;0.8500;152.0
-397.951767429;0.8500;153.0
-397.950013301;0.8500;154.0
-397.948291962;0.8500;155.0
-397.946606595;0.8500;156.0
-397.944960376;0.8500;157.0
