energy;distance;angle
-75.9825296572;1.1000;110.0
-75.9820543983;1.1000;111.0
-75.9815343819;1.1000;112.0
-75.9809703151;1.1000;113.0
-75.9803629327;1.1000;114.0
-75.9797129979;1.1000;115.0
-75.9790213041;1.1000;116.0
-75.9782886753;1.1000;117.0
-75.9775159671;1.1000;118.0
-75.9767040682;1.1000;119.0
-75.9758539007;1.1000;120.0
-75.9749664218;1.1000;121.0
-75.9740426242;1.1000;122.0
-75.9730835374;1.1000;123.0
-75.9720902287;1.1000;124.0
-75.971063804;1.1000;125.0
-75.9700054089;1.1000;126.0
-75.9689162296;1.1000;127.0
-75.9677974939;1.1000;128.0
-75.9666504724;1.1000;129.0
-75.965476479;1.1000;130.0
-75.9642768721;1.1000;131.0
-75.9630530557;1.1000;132.0
-75.9618064797;1.1000;133.0
-75.9605386416;1.1000;134.0
-75.9592510863;1.1000;135.0
-75.9579454079;1.1000;136.0
-75.9566232495;1.1000;137.0
-75.9552863043;1.1000;138.0
-75.9539363159;1.1000;139.0
-75.9525750787;1.1000;140.0
-75.9512044385;1.1000;141.0
-75.9498262917;1.1000;142.0
-75.9484425864;1.1000;143.0
-75.9470553211;1.1000;144.0
-75.9456665447;1.1000;145.0
-75.9442783556;1.1000;146.0
-75.9428929007;1.1000;147.0
-75.9415123739;1.1000;148.0
-75.9401390143;1.1000;149.0
-75.9387751044;1.1000;150.0
-75.937422967;1.1000;151.0
-75.9360849627;1.1000;152.0
-75.9347634863;1.1000;153.0
-75.9334609625;1.1000;154.0
-75.9321798418;1.1000;155.0
-75.9309225947;1.1000;156.0
-75.9296917066;1.1000;157.0
-75.9284896713;1.1000;158.0
-75.9273189836;1.1000;159.0
-75.9261821325;1.1000;160.0
-75.959368528;1.1000;70.0
-75.9610159889;1.1000;71.0
-75.9626089198;1.1000;72.0
-75.9641470151;1.1000;73.0
-75.9656299832;1.1000;74.0
-75.9670575546;1.1000;75.0
-75.9684294887;1.1000;76.0
-75.9697455788;1.1000;77.0
-75.9710056558;1.1000;78.0
-75.97220959;1.1000;79.0
-75.973357293;1.1000;80.0
-75.9744487175;1.1000;81.0
-75.9754838572;1.1000;82.0
-75.9764627456;1.1000;83.0
-75.9773854543;1.1000;84.0
-75.9782520912;1.1000;85.0
-75.9790627987;1.1000;86.0
-75.9798177508;1.1000;87.0
-75.9805171511;1.1000;88.0
-75.9811612307;1.1000;89.0
-75.9817502455;1.1000;90.0
-75.9822844749;1.1000;91.0
-75.9827642193;1.1000;92.0
-75.9831897988;1.1000;93.0
-75.9835615523;1.1000;94.0
-75.9838798355;1.1000;95.0
-75.9841450211;1.1000;96.0
-75.9843574975;1.1000;97.0
-75.9845176692;1.1000;98.0
-75.984625956;1.1000;99.0
-75.9622197624;1.1500;100.0
-75.9621657936;1.1500;101.0
-75.9620633792;1.1500;102.0
-75.9619128758;1.1500;103.0
-75.9617146623;1.1500;104.0
-75.9614691408;1.1500;105.0
